,business_id,name,address,state,city,stars,postal_code,review_count,attributes,categories,hours,RestaurantsTakeOut,BusinessAcceptsCreditCards,RestaurantsAttire,RestaurantsPriceRange2,RestaurantsReservations,NoiseLevel,HasTV,BikeParking,RestaurantsDelivery,GoodForKids,OutdoorSeating,RestaurantsTableService,RestaurantsGoodForGroups,WiFi,Ambience,DogsAllowed,BusinessAcceptsBitcoin,Alcohol,WheelchairAccessible,Caters,GoodForMeal,BusinessParking,BYOBCorkage,HappyHour,BYOB,DriveThru,ByAppointmentOnly,Corkage,Smoking,GoodForDancing,Music,BestNights,CoatCheck,RestaurantsCounterService,DietaryRestrictions,Open24Hours,garage,street,validated,lot,valet
10642,_A6fj7b4qwnmcEEOYOu5vw,Mala Restaurant,129 Brighton Ave,MA,Boston,3.5,2134,262,"{'Caters': 'False', 'BikeParking': 'False', 'RestaurantsGoodForGroups': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': None, 'upscale': False, 'classy': False, 'casual': True}"", 'DogsAllowed': 'False', 'GoodForKids': 'True', 'BusinessAcceptsCreditCards': 'True', 'HasTV': 'False', 'Alcohol': ""'beer_and_wine'"", 'RestaurantsPriceRange2': '2', 'ByAppointmentOnly': 'False', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': None, 'breakfast': False}"", 'RestaurantsTakeOut': 'True', 'RestaurantsReservations': 'False', 'RestaurantsDelivery': 'True', 'OutdoorSeating': 'None', 'HappyHour': 'False', 'RestaurantsTableService': 'True', 'WiFi': ""'no'"", 'RestaurantsAttire': ""'casual'"", 'NoiseLevel': ""u'average'""}","Restaurants, Chinese, Szechuan, Barbeque, Soup","{'Monday': '11:30-22:0', 'Tuesday': '11:30-22:0', 'Wednesday': '11:30-22:0', 'Thursday': '11:30-22:30', 'Friday': '11:30-22:30', 'Saturday': '11:30-22:30', 'Sunday': '11:30-22:0'}",True,True,'casual',2,False,u'average',False,False,True,True,None,True,True,'no',"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': None, 'upscale': False, 'classy': False, 'casual': True}",False,,'beer_and_wine',,False,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': None, 'breakfast': False}","{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",,False,,,False,,,,,,,,,,False,True,False,False,False
10737,n16Hf7v3TpWKwjpKoV_01A,Bullard,813 SW Alder St,OR,Portland,4.5,97205,148,"{'BestNights': ""{'monday': False, 'tuesday': False, 'friday': True, 'wednesday': True, 'thursday': False, 'sunday': False, 'saturday': False}"", 'HasTV': 'False', 'RestaurantsReservations': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsGoodForGroups': 'True', 'Alcohol': ""u'full_bar'"", 'Music': ""{'dj': None, 'background_music': False, 'no_music': False, 'jukebox': None, 'live': False, 'video': False, 'karaoke': None}"", 'DogsAllowed': 'False', 'CoatCheck': 'True', 'Smoking': ""u'no'"", 'GoodForMeal': ""{'dessert': None, 'latenight': True, 'lunch': None, 'dinner': True, 'brunch': None, 'breakfast': None}"", 'OutdoorSeating': 'False', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}"", 'GoodForDancing': 'False', 'RestaurantsTableService': 'True', 'RestaurantsPriceRange2': '3', 'RestaurantsTakeOut': 'True', 'BusinessAcceptsBitcoin': 'False', 'HappyHour': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': True}"", 'WiFi': ""u'free'"", 'RestaurantsDelivery': 'True', 'BikeParking': 'True', 'WheelchairAccessible': 'True', 'Caters': 'True', 'NoiseLevel': ""u'average'""}","Restaurants, Tapas/Small Plates, Barbeque, Nightlife, Bars, Sandwiches, Tex-Mex","{'Monday': '0:0-0:0', 'Tuesday': '16:30-17:30', 'Wednesday': '16:30-17:30', 'Thursday': '11:0-21:0', 'Friday': '17:0-23:0'}",True,True,,3,True,u'average',False,True,True,,False,True,True,u'free',"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}",False,False,u'full_bar',True,True,"{'dessert': None, 'latenight': True, 'lunch': None, 'dinner': True, 'brunch': None, 'breakfast': None}","{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': True}",,True,,,,,u'no',False,"{'dj': None, 'background_music': False, 'no_music': False, 'jukebox': None, 'live': False, 'video': False, 'karaoke': None}","{'monday': False, 'tuesday': False, 'friday': True, 'wednesday': True, 'thursday': False, 'sunday': False, 'saturday': False}",True,,,,False,True,False,False,True
10945,eDAQ_dfy-bik-GWg20_CUw,EastSide Tavern,1510 E Cesar Chavez,TX,Austin,4.0,78702,363,"{'Alcohol': ""u'full_bar'"", 'WheelchairAccessible': 'True', 'OutdoorSeating': 'True', 'HappyHour': 'True', 'NoiseLevel': ""u'average'"", 'HasTV': 'True', 'GoodForDancing': 'False', 'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsAttire': ""u'casual'"", 'BikeParking': 'True', 'DogsAllowed': 'True', 'RestaurantsTableService': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsGoodForGroups': 'True', 'WiFi': ""u'free'"", 'RestaurantsReservations': 'True', 'GoodForKids': 'False', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"", 'Caters': 'True', 'Smoking': ""u'outdoor'"", 'CoatCheck': 'False', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': True, 'upscale': False, 'classy': False, 'casual': True}"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': True, 'breakfast': False}"", 'RestaurantsDelivery': 'True', 'Music': 'None', 'BestNights': ""{'monday': True, 'tuesday': False, 'friday': False, 'wednesday': False, 'thursday': False, 'sunday': False, 'saturday': True}""}","Bars, American (Traditional), Nightlife, Barbeque, Event Planning & Services, Restaurants, Caterers","{'Monday': '11:0-20:0', 'Tuesday': '11:0-20:0', 'Wednesday': '11:0-20:0', 'Thursday': '11:0-20:0', 'Friday': '11:0-20:0', 'Saturday': '11:0-20:0', 'Sunday': '11:0-20:0'}",True,True,u'casual',2,True,u'average',True,True,True,False,True,True,True,u'free',"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': True, 'upscale': False, 'classy': False, 'casual': True}",True,,u'full_bar',True,True,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': True, 'breakfast': False}","{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}",,True,,,,,u'outdoor',False,None,"{'monday': True, 'tuesday': False, 'friday': False, 'wednesday': False, 'thursday': False, 'sunday': False, 'saturday': True}",False,,,,False,True,False,True,False
11341,El3zlJQIWiNa8WtCP1C01g,Kalbi Hau5,,FL,Orlando,3.5,32835,15,"{'GoodForKids': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'RestaurantsPriceRange2': '1', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsDelivery': 'False', 'RestaurantsReservations': 'False', 'HasTV': 'True'}","Food Trucks, Food, Barbeque, Restaurants, Asian Fusion, Street Vendors","{'Tuesday': '17:0-21:0', 'Wednesday': '17:0-21:0', 'Thursday': '17:0-21:0', 'Friday': '17:0-21:0', 'Saturday': '17:0-21:0'}",,True,,1,False,,True,,False,True,,,,,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}",,,,,,,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",,,,,,,,,,,,,,,False,True,False,False,False
11649,GCS3ZeLQ_H9xpVEbWH1PsQ,Nando's Flame Grilled Chicken,144-12101 72nd Avenue,BC,Surrey,3.5,V3W 3M9,23,"{'RestaurantsAttire': ""u'casual'"", 'BikeParking': 'True', 'WiFi': ""'no'"", 'RestaurantsGoodForGroups': 'True', 'RestaurantsTakeOut': 'True', 'NoiseLevel': ""'average'"", 'GoodForKids': 'True', 'Alcohol': ""u'beer_and_wine'"", 'HasTV': 'True', 'RestaurantsReservations': 'False', 'RestaurantsDelivery': 'False', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'RestaurantsPriceRange2': '2', 'Caters': 'False', 'OutdoorSeating': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'brunch': False, 'breakfast': False}""}","Portuguese, South African, Fast Food, Restaurants, Barbeque, American (Traditional), Chicken Wings, African","{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '11:0-21:0'}",True,,u'casual',2,False,'average',True,True,False,True,True,,True,'no',"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}",,,u'beer_and_wine',,False,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'brunch': False, 'breakfast': False}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,,,,,,,,,,,,,,False,False,False,False,False
11837,GsLR5-jx8Sp3dngJro4zOg,ZAZ,1238 River St,MA,Hyde Park,4.0,2136,135,"{'WiFi': ""'free'"", 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'RestaurantsGoodForGroups': 'True', 'HasTV': 'True', 'OutdoorSeating': 'False', 'RestaurantsAttire': ""'casual'"", 'RestaurantsTakeOut': 'True', 'RestaurantsPriceRange2': '2', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsReservations': 'False', 'Caters': 'True', 'BusinessAcceptsCreditCards': 'True', 'BikeParking': 'True', 'NoiseLevel': ""u'average'"", 'GoodForKids': 'True', 'RestaurantsDelivery': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': True, 'breakfast': False}"", 'Alcohol': ""u'beer_and_wine'""}","Caterers, Caribbean, Barbeque, Restaurants, Event Planning & Services, American (New)","{'Tuesday': '16:0-22:0', 'Wednesday': '16:0-22:0', 'Thursday': '16:0-22:0', 'Friday': '16:0-22:0', 'Saturday': '10:0-22:0'}",True,True,'casual',2,False,u'average',True,True,False,True,False,,True,'free',"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}",,,u'beer_and_wine',,True,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': True, 'breakfast': False}","{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",,,,,,,,,,,,,,,False,True,False,False,False
12020,OvQgfNIjq9HhF-5Trk616Q,The Skewer Bar,1425 NW 185th Ave,OR,Beaverton,4.0,97006,28,"{'BikeParking': 'True', 'Caters': 'True', 'WiFi': ""u'no'"", 'WheelchairAccessible': 'True', 'Alcohol': ""u'beer_and_wine'"", 'HasTV': 'False', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsTableService': 'True', 'HappyHour': 'True', 'Smoking': ""u'outdoor'"", 'RestaurantsReservations': 'True', 'BYOB': 'False', 'OutdoorSeating': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'Corkage': 'False'}","Taiwanese, Restaurants, Bars, Chinese, Barbeque, Bubble Tea, Nightlife, Food","{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '11:0-21:0'}",True,True,,,True,,False,True,True,,True,True,,u'no',,,,u'beer_and_wine',True,True,,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",,True,False,,,False,u'outdoor',,,,,,,,False,False,False,True,False
12189,lCUDJs7wKtb7BltiLRphWQ,LongHorn Steakhouse,39 Walkers Brook Dr,MA,Reading,3.0,1867,169,"{'Alcohol': ""u'full_bar'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsAttire': ""u'casual'"", 'BikeParking': 'False', 'Caters': 'False', 'RestaurantsPriceRange2': '2', 'RestaurantsDelivery': 'False', 'NoiseLevel': ""u'average'"", 'GoodForKids': 'True', 'OutdoorSeating': 'False', 'RestaurantsReservations': 'False', 'RestaurantsTakeOut': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsGoodForGroups': 'True', 'HasTV': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'GoodForMeal': ""{'dessert': None, 'latenight': False, 'lunch': None, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'WiFi': ""'free'""}","Barbeque, American (Traditional), Restaurants, Steakhouses","{'Monday': '0:0-0:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-20:0', 'Friday': '11:0-23:0', 'Saturday': '11:0-23:0', 'Sunday': '11:0-22:0'}",True,True,u'casual',2,False,u'average',True,False,False,True,False,,True,'free',"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}",,,u'full_bar',,False,"{'dessert': None, 'latenight': False, 'lunch': None, 'dinner': True, 'brunch': False, 'breakfast': False}","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",,,,,,,,,,,,,,,False,False,False,True,False
12392,ibQ5yscAgHTrGy9cV81u-Q,Woody's Bar-B-Q,4885 US Hwy 1,FL,Cocoa,3.0,32927,41,"{'Alcohol': ""'beer_and_wine'"", 'RestaurantsPriceRange2': '2', 'RestaurantsGoodForGroups': 'True', 'NoiseLevel': ""'average'"", 'GoodForKids': 'True', 'RestaurantsTakeOut': 'True', 'OutdoorSeating': 'False', 'RestaurantsTableService': 'True', 'HasTV': 'True', 'RestaurantsReservations': 'True', 'BusinessAcceptsCreditCards': 'True', 'WheelchairAccessible': 'True', 'BikeParking': 'True', 'BusinessAcceptsBitcoin': 'False', 'RestaurantsAttire': ""'casual'"", 'Caters': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'DogsAllowed': 'False', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'WiFi': ""u'free'"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'RestaurantsDelivery': 'True'}","Barbeque, Restaurants","{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:0', 'Saturday': '11:0-21:0', 'Sunday': '11:0-21:0'}",True,True,'casual',2,True,'average',True,True,True,True,False,True,True,u'free',"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",False,False,'beer_and_wine',True,True,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",,,,,,,,,,,,,,,False,False,False,True,False
12465,GGCs6C-YMPy0sMMZlWB9VQ,Fat Boy's Bar-B-Q,1606 W Vine St,FL,Kissimmee,4.0,34741,109,"{'RestaurantsTakeOut': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsAttire': ""u'casual'"", 'RestaurantsReservations': 'False', 'NoiseLevel': ""u'average'"", 'RestaurantsGoodForGroups': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsPriceRange2': '2', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'GoodForKids': 'True', 'HasTV': 'False', 'Caters': 'True', 'OutdoorSeating': 'False', 'BikeParking': 'False', 'Alcohol': ""'none'"", 'WheelchairAccessible': 'True', 'RestaurantsTableService': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'WiFi': ""'no'"", 'RestaurantsDelivery': 'True'}","Restaurants, Barbeque","{'Monday': '6:0-21:0', 'Tuesday': '6:0-21:0', 'Wednesday': '6:0-21:0', 'Thursday': '6:0-21:0', 'Friday': '6:0-21:0', 'Saturday': '6:0-21:0', 'Sunday': '6:0-14:0'}",True,True,u'casual',2,False,u'average',False,False,True,True,False,True,True,'no',"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}",,,'none',True,True,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'brunch': False, 'breakfast': False}","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",,,,,,,,,,,,,,,False,False,False,True,False
12671,GdhT2vJ0a8FQ9F-ksySgCQ,Rip City Grill,6036 SE Division St,OR,Portland,4.5,97206,87,"{'NoiseLevel': ""'average'"", 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"", 'BikeParking': 'True', 'RestaurantsTableService': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsAttire': ""'casual'"", 'RestaurantsGoodForGroups': 'True', 'HasTV': 'True', 'HappyHour': 'True', 'WiFi': ""u'free'"", 'RestaurantsPriceRange2': '2', 'BusinessAcceptsBitcoin': 'False', 'Caters': 'True', 'RestaurantsReservations': 'False', 'OutdoorSeating': 'True', 'Alcohol': ""u'beer_and_wine'"", 'GoodForKids': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}"", 'DogsAllowed': 'False', 'WheelchairAccessible': 'True', 'RestaurantsDelivery': 'True', 'RestaurantsTakeOut': 'True'}","American (Traditional), American (New), Caterers, Steakhouses, Event Planning & Services, Sandwiches, Barbeque, Restaurants","{'Monday': '0:0-0:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:0', 'Saturday': '12:0-21:0', 'Sunday': '12:0-20:0'}",True,True,'casual',2,False,'average',True,True,True,True,True,False,True,u'free',"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}",False,False,u'beer_and_wine',True,True,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}","{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}",,True,,,,,,,,,,,,,False,True,False,True,False
12694,cNdG13MfmHMa1u6U82JJHw,Modern Grace Boutique,2810 Edgewater Dr,FL,Orlando,4.0,32804,7,{'BusinessAcceptsCreditCards': 'True'},"Shopping, Fashion, Women's Clothing, Barbeque, Gift Shops, Jewelry, Flowers & Gifts, Restaurants","{'Monday': '12:0-17:0', 'Tuesday': '12:0-17:0', 'Wednesday': '12:0-17:0', 'Thursday': '12:0-17:0', 'Friday': '11:0-17:0', 'Saturday': '11:0-17:0'}",,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12784,wyOovZRapCeFjcTwXryGZg,Chisholm Trail Icehouse & BBQ,"8650 Spicewood Springs Rd, Ste 148",TX,Austin,3.0,78759,46,"{'GoodForKids': 'True', 'RestaurantsGoodForGroups': 'True', 'OutdoorSeating': 'False', 'Alcohol': ""u'beer_and_wine'"", 'RestaurantsAttire': ""u'casual'"", 'RestaurantsPriceRange2': '1', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'Caters': 'True', 'RestaurantsTakeOut': 'True', 'HasTV': 'True', 'RestaurantsReservations': 'False', 'RestaurantsDelivery': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'NoiseLevel': ""u'average'"", 'BusinessAcceptsCreditCards': 'True'}","Barbeque, Restaurants","{'Monday': '11:0-20:0', 'Tuesday': '11:0-20:0', 'Wednesday': '11:0-20:0', 'Thursday': '11:0-20:0', 'Friday': '11:0-21:0', 'Saturday': '11:0-21:0', 'Sunday': '11:0-18:0'}",True,True,u'casual',1,False,u'average',True,,False,True,False,,True,,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}",,,u'beer_and_wine',,True,,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",,,,,,,,,,,,,,,False,False,False,True,False
12931,ZThVTZh4zIjhbQjqRIQbUw,King Barbecue,308 Pharr Rd NE,GA,Atlanta,5.0,30305,8,"{'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'HasTV': 'True'}","Restaurants, Southern, Barbeque","{'Wednesday': '11:0-19:0', 'Thursday': '11:0-19:0', 'Friday': '11:0-19:0', 'Saturday': '11:0-19:0', 'Sunday': '11:0-19:0'}",,,,,,,True,,,,,,,,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}",,,,,,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,,,,,,,,,,,,,,False,False,False,False,False
13303,enSXnvEKjDCit9A2_vyugg,Smokehouse at Route 46,4316 W State Rd 46,FL,Sanford,3.0,32771,59,"{'NoiseLevel': ""u'quiet'"", 'Alcohol': ""u'full_bar'"", 'RestaurantsAttire': ""'casual'"", 'RestaurantsDelivery': 'True', 'RestaurantsPriceRange2': '2', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'OutdoorSeating': 'True', 'BYOBCorkage': ""'no'"", 'RestaurantsGoodForGroups': 'True', 'RestaurantsTakeOut': 'True', 'BusinessAcceptsBitcoin': 'False', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'WiFi': ""u'no'"", 'HasTV': 'False', 'Caters': 'True', 'GoodForKids': 'True', 'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True'}","Nightlife, Music Venues, Arts & Entertainment, Southern, Smokehouse, Sandwiches, Restaurants, Food, Barbeque","{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:0', 'Saturday': '11:0-21:0', 'Sunday': '11:0-15:0'}",True,True,'casual',2,,u'quiet',False,True,True,True,True,,True,u'no',"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}",,False,u'full_bar',,True,,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",'no',,,,,,,,,,,,,,False,False,False,True,False
13498,91E_lIBwGg5KRU5dcb7owA,BD's Mongolian Grill,3977 Worth Ave,OH,Columbus,3.0,43219,154,"{'RestaurantsDelivery': 'True', 'Alcohol': ""u'full_bar'"", 'GoodForKids': 'True', 'RestaurantsTakeOut': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'Caters': 'False', 'RestaurantsAttire': ""u'casual'"", 'BusinessAcceptsCreditCards': 'True', 'BikeParking': 'True', 'OutdoorSeating': 'True', 'RestaurantsPriceRange2': '2', 'WiFi': ""u'free'"", 'GoodForMeal': ""{'dessert': None, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'RestaurantsTableService': 'True', 'HasTV': 'True', 'RestaurantsGoodForGroups': 'True', 'HappyHour': 'True', 'NoiseLevel': ""u'average'"", 'DogsAllowed': 'False', 'BusinessParking': ""{'garage': None, 'street': None, 'validated': False, 'lot': None, 'valet': False}"", 'RestaurantsReservations': 'True'}","Restaurants, Chinese, Mongolian, Barbeque","{'Monday': '0:0-0:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-16:0', 'Friday': '11:0-23:0', 'Saturday': '11:0-23:0', 'Sunday': '11:0-21:0'}",True,True,u'casual',2,True,u'average',True,True,True,True,True,True,True,u'free',"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}",False,,u'full_bar',,False,"{'dessert': None, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}","{'garage': None, 'street': None, 'validated': False, 'lot': None, 'valet': False}",,True,,,,,,,,,,,,,,,False,,False
